name,tweet,date,like,retweet
NoahKamara99,"@buck_wilders @JT100UK @DelDawna @PressSec I’m not moving the goalposts. The person I replied to claimed vaccines were 100% effective before the pandemic which is just not true.
The Salk vaccine was only 60-70% effective against PV1 in the study conducted at that time. It did however prevent bulbar polio in 94% of cases.",2022-03-23 03:25:56+00:00,0,0
lynnlistener,What We've Learned About So-Called 'Lockdowns' and the COVID-19 Pandemic https://t.co/lfYkj7XKqP via @factcheckdotorg,2022-03-23 03:25:56+00:00,0,0
avakurian,RT @PYSNGR: Don’t let this world convince you that you need to come out the pandemic more efficient and accessible.,2022-03-23 03:25:55+00:00,0,6
tanowicki5,I should check if he’s touring again. Missed his show because of stupid pandemic. https://t.co/nMYJPr6ye2,2022-03-23 03:25:54+00:00,0,0
Sacheeshot,"RT @NAN_DINI_: Who was funding the agitation? 

That -
 -inconvenienced millions of citizens for over 12 months in the midst of a pandemic…",2022-03-23 03:25:54+00:00,0,105
stevewalsh0,@M_Millerman The blockhead pandemic.,2022-03-23 03:25:54+00:00,1,0
2dialogue,"RT @dccc: Despite a global pandemic, Republicans are still plotting ways to rip away your health care. We will stop them.",2022-03-23 03:25:53+00:00,0,33
TeeOsoLovely,@sfergs_ I could never go back to an office. I was WFH post pandemic literally transitioned like 5 months earlier.. the amount of positive change is unmeasurable. Would never go back!!,2022-03-23 03:25:53+00:00,0,0
syafsoopingu,Pls i need taeyeon concert since its been cancelled due to pandemic😭😭😭 also exo tour again pls!!,2022-03-23 03:25:51+00:00,0,0
sherry_bath,RT @ASlavitt: Tomorrow we break news on ⁦@inthebubblepod⁩ on the next COVID crisis: getting money from Congress to fight the pandemic. http…,2022-03-23 03:25:47+00:00,0,53
kroton13,@risahoshinoMD Yep. Lost my job advocating for better protocol and leadership early in the pandemic.  One sib off the deep end w conspiracy theories. Getting PTSD trying to live safely as others act like it’s over.,2022-03-23 03:25:45+00:00,0,0
cjclark87,"@Deemoney521 @Woody4123 @litlove71 @SpryOld @EvRealLincoln @ConorLambPA She lost twice, the special and the general. Don't forget Pres Hillary right. He only won bc of the pandemic. So glad I didn't vote for him. Saddest pres ever.",2022-03-23 03:25:45+00:00,1,0
YungSaddyZaddy,RT @STORMIMFMAYA: Everyday …we are in … a pandemic..,2022-03-23 03:25:45+00:00,0,2
JimmyBa65930624,RT @JesseKellyDC: Remember when Joe Biden pointed his finger at half the country and blamed them for a pandemic and then tried to have them…,2022-03-23 03:25:45+00:00,0,2969
Todd63950830,Do you want an international board to be responsible for your family's health decisions? Take action now! Sign the petition opposing a WHO Pandemic Treaty. https://t.co/rQb3neqR30,2022-03-23 03:25:45+00:00,1,0
MichaelEvansB05,RT @PYSNGR: Don’t let this world convince you that you need to come out the pandemic more efficient and accessible.,2022-03-23 03:25:42+00:00,0,6
kesigaiko,RT @ZhaneJahnice: Bitches see you love something and try to force themselves to love it too. Identity crisis is the real pandemic,2022-03-23 03:25:42+00:00,0,2141
XXX1946,"RT @jon_trickett: The Super Rich added £3 trillion to their kitty during the pandemic.

Wouldn’t it be reasonable to ask them to pay some m…",2022-03-23 03:25:40+00:00,0,2945
polizeros,"A lot of people are in emotional stress now. Two years of the pandemic and now possible war are amplifying regular stresses.

The Ukraine situation is destination unknown. We don't know what will happen.

Be nice to yourself and others.",2022-03-23 03:25:39+00:00,3,1
Frog_Weekly,RT @SonofAries7: This is why the pandemic lasted 2 years,2022-03-23 03:25:36+00:00,0,999
filipe_rafaeli,RT @AAPSonline: Alcohol-Related Deaths During the COVID-19 Pandemic Increase by 25% https://t.co/OupgSTovGT,2022-03-23 03:25:35+00:00,0,40
sl_riley,"This see saw, nail biter by election in Fort Whyte is likely only a surprise to  @HStefansonMB.

Advance polls likely favour @obbykhan60

Given the totality of what’s transpired in #mbpoli since pandemic began &amp; Macbeth became premier, what kind of person votes for this gov’t?",2022-03-23 03:25:28+00:00,21,3
lesbianclownz,RT @AstroDog19: @JoshuaPotash We knew from the Spanish Flu pandemic that ventilation could drastically help fight the spread of airborne pa…,2022-03-23 03:25:25+00:00,0,51
LuisaNi05352959,"RT @EricTopol: Covid ICU hospitalizations are already at the US pandemic low. With another decline of 700 hospitalizations today, and accou…",2022-03-23 03:25:23+00:00,0,530
MLGG2,"@KashPrime This is what happens when a pandemic is managed by politicians, and bureaucrats at the service of corporations and financial institutions. Time to hold them accountable. Otherwise, we will be just as culpable. @patientombuds @cpso_ca @Royal_College @WHO @UNHumanRights @HRWcanada",2022-03-23 03:25:22+00:00,0,0
AK22_12,"NGOs are another pandemic but they come and criticize civil servants band politicians.

If in you job you actually cut corners to improve your income, you are part of the problem this country is facing... You belong in the same pool as murderers and rapists.... https://t.co/k9WW60Tq3F",2022-03-23 03:25:19+00:00,0,0
AkkianProud,RT @Ronita_Rivashni: What nonsense .... Whenever anything strikes India including a pandemic #AkshayKumar is one of the first people to tak…,2022-03-23 03:25:19+00:00,0,40
cmusician,RT @TheHammer9001: Thank you @theJagmeetSingh and the @NDP for giving some needed post pandemic hope that our healthcare system will finall…,2022-03-23 03:25:17+00:00,0,34
Kae19982020,"RT @SteveStaeger: 🧵This was a tough one. We learned this week of a sad pandemic-related problem the Denver Hospice. 

Volunteers bringing c…",2022-03-23 03:25:17+00:00,0,19
riddler99_97,"@DustinWalper What happened during the ""pandemic"", exposed what is a huge problem with government run / socialist healthcare.

They seem ok with excluding people from receiving medical treatment.

Media bias is very bad.

Medical bias is criminal.",2022-03-23 03:25:15+00:00,0,0
loafingcactus,When the pandemic started free shipping from Blick was a min $45 order I think. Now it is $69. I don't group orders for the free shipping minimum anywhere else so I don't know how much this reflects other retail...,2022-03-23 03:25:14+00:00,0,0
